variable,h,p16,p50,p84
mu_cp,0,0.1265950579460341,0.2446514976929827,0.3946015323230771
mu_cp,1,0.043256922599596966,0.12176368631010911,0.209698551559706
mu_cp,2,0.044184354521579795,0.11695016752813994,0.19799847735817822
mu_cp,4,-0.18635112971333648,-0.08250445655147792,0.020202340987552542
mu_cp,8,-0.08155556247920065,0.003927898598314205,0.09094521181808239
mu_cp,12,-0.06798418025963637,-0.0006909935040027629,0.07440870228429981
CPI_QoQ_Ann,0,-0.16528972609157652,-0.012793296319087311,0.20392978639695347
CPI_QoQ_Ann,1,-0.08163725132452507,0.021072264136328213,0.11288305300051671
CPI_QoQ_Ann,2,-0.062170599171584025,0.020656753805592478,0.09592364433115207
CPI_QoQ_Ann,4,-0.24359948638091014,-0.12565162670350183,-0.028103731493484625
CPI_QoQ_Ann,8,-0.15492937784248972,-0.02512013457781688,0.08440901532555387
CPI_QoQ_Ann,12,-0.12030830705721947,-0.027754339406495035,0.06470069964421796
Ind_Value_Added_YoY,0,-0.16461249047918472,0.026014246883857083,0.20580485926865366
Ind_Value_Added_YoY,1,-0.1199944805623695,0.00979414448409038,0.14108001641813134
Ind_Value_Added_YoY,2,-0.05273430764267863,0.0653244140559976,0.1767254367550112
Ind_Value_Added_YoY,4,-0.1473217053388527,-0.0032667535585511466,0.14695870967034363
Ind_Value_Added_YoY,8,-0.11640863976762482,0.006317467405565182,0.1364890589775949
Ind_Value_Added_YoY,12,-0.08719113004965948,-0.001289058213989853,0.08360163769595065
epu_qavg,0,-0.13021780300378166,0.03451180053390162,0.18813421400392846
epu_qavg,1,-0.10671137294373176,0.00897233094452121,0.111200525046208
epu_qavg,2,-0.12528887583910844,-0.02112654890423398,0.08385150101783732
epu_qavg,4,-0.15014031595884936,-0.013529599001507454,0.11576740975951427
epu_qavg,8,-0.12655437441830358,-0.03008441278764698,0.06021501553039619
epu_qavg,12,-0.11777681092820919,-0.02187307546966508,0.052347051715214525
gpr_qavg,0,-0.21751984793298643,0.11719323945543134,0.4040990147030936
gpr_qavg,1,-0.1418950537716083,-0.0049114970956697975,0.14544414008881218
gpr_qavg,2,-0.11555284758718382,0.0013901061940560966,0.12131103154062745
gpr_qavg,4,-0.1402779754714881,0.015773301918995564,0.15490384678377261
gpr_qavg,8,-0.10249595820139323,0.008880896218122186,0.1260029693471084
gpr_qavg,12,-0.07675730263367225,0.017413802424230698,0.12334075201899572
