param,mean,sd,p05,p95
alpha,1.0721799828643264,0.47691700936287895,0.2872381957020578,1.8433735170932632
gamma_Food_CPI_YoY_qavg,-0.26099755756415993,0.5162060570245858,-1.103434768580639,0.5878035923708423
gamma_M2_YoY,-0.09955613860726216,0.5066909570805784,-0.9326023618850636,0.715690639699256
gamma_PPI_YoY,0.361974972555546,0.5257850953576156,-0.4910871305091333,1.2305078376853238
d_epu_qavg,0.07070381778558243,0.2542903195396522,-0.3541536808174308,0.48185700645441765
d_gpr_qavg,-0.02348301169623616,0.3834870266481532,-0.6651472605673169,0.5997167893422654
R_var,9.721158094517065,2.2801503156993723,6.625640130426501,13.887308620570803
Q_var,1.0026401355448038,0.8607975744204841,0.2757756417165031,2.499737868308571
