quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.08718022461536655,-2.1684663110956595,2.016438133926526
2014Q1,-0.24168663706843974,-2.5387866499193437,2.1318599114335663
2014Q2,-0.5971859973051822,-3.059450652864731,1.8792981416527863
2014Q3,-0.8358287660777031,-3.491086494989931,1.9102413218698555
2014Q4,-1.0757885673088854,-3.9319502004882323,1.6951763673631168
2015Q3,-1.3963029654027947,-4.330284210080482,1.6661838975148944
2015Q4,-1.7694076819815197,-5.129247677305878,1.3574792259606392
2016Q1,-1.998631771613302,-5.407849508392162,1.2531343873456922
2016Q2,-2.016521106389755,-5.4246091862362755,1.2293124057966227
2016Q3,-1.9198604089152118,-5.615022770453111,1.6408378600935878
2016Q4,-1.8470739365349993,-5.926379030221699,2.0450910277520578
2017Q1,-1.7188441752583943,-5.594145231136283,1.9992052828536828
2017Q2,-1.6962221873013823,-5.874580299185256,2.284840281738648
2017Q3,-1.621724719918716,-5.769894311246002,2.5324169955512428
2017Q4,-1.59127199971179,-5.86309539646739,2.5124541379649212
2018Q1,-1.4870221259693834,-5.67937394142132,2.567949868432238
2018Q2,-1.3547373572964472,-5.444517964969012,2.6930234186523467
2018Q3,-1.3669345799452757,-5.056923341801544,2.4750221843872895
2018Q4,-1.1338873144081456,-4.473743516075713,2.380865755898351
2019Q1,-0.806466257157686,-4.0236203909044574,2.5839642973996
2019Q2,-0.46516418854124725,-3.3937400462472733,2.7617870399404314
2019Q3,-0.3888854602524844,-3.1838979270245082,2.587511713594572
2019Q4,-0.34108800011154045,-2.8780798016109514,2.4087875078186065
2020Q1,-0.48059134095461203,-2.927909830543319,2.1456315225715614
2020Q2,-1.1391760046033506,-3.3373971791046424,1.0365542604865714
2020Q3,-1.002636931149249,-3.723110623841373,1.767761827093036
2021Q2,-0.9981261266423469,-4.266800825171591,2.255232024017933
2021Q3,-1.0402712127989957,-4.788394036928511,2.8809100246546246
2021Q4,-1.122659718990408,-5.425874986638441,3.373385650221528
2022Q1,-1.3387700387832,-4.524916426855757,1.785849921072915
2022Q2,-1.4365162328124408,-4.5245465418948765,1.5433019867347435
2022Q3,-1.5235901164882335,-4.514642207775209,1.304998085953432
2022Q4,-1.5197921227545999,-4.63150702430879,1.4730761549981621
2023Q1,-1.6216504406406405,-5.120240872131906,1.758107132168151
2023Q2,-1.8079123158362733,-5.4274394597743765,1.7421978158899694
2023Q3,-1.9816903312323433,-5.859130461687275,1.6739942530001901
2023Q4,-2.11376365708941,-5.875843505950332,1.4320264857862774
2024Q1,-2.306223592809965,-6.232237708974526,1.4604538475607218
2024Q2,-2.507063519212073,-6.824576888941665,1.4576150000321495
2024Q3,-2.640356871309928,-6.883599289199201,1.393629270263672
2024Q4,-2.5448002196366253,-6.982366240053883,1.626014548430041
2025Q1,-2.570193586316849,-7.572876670111976,2.0204816243224832
2025Q2,-2.4447408806301647,-8.302870389482079,3.0414000453926544
