quarter,beta_mean,beta_p05,beta_p95
2013Q4,0.2491149267924036,-3.3958692494182543,3.984963973572143
2014Q1,0.21567232032111705,-3.425994525574637,4.1953039827468315
2014Q2,-0.5849197177107964,-4.070327588656609,2.9454160456402936
2014Q3,-0.8928125168544797,-4.803749127270516,3.317361690899795
2014Q4,-1.1869960631444447,-5.2085756550247115,2.955455387073591
2015Q3,-1.820226292491809,-5.777501048601251,2.3620102779656205
2015Q4,-2.602092387051989,-6.986010953010319,1.5827339857542704
2016Q1,-3.0004931014297442,-7.041408867576342,0.9622947176218511
2016Q2,-2.7731280925804893,-6.690768988114598,0.9443642062365698
2016Q3,-2.4296605239345714,-7.01658573806878,2.145146795775673
2016Q4,-2.1269007704576732,-7.298032838846423,2.876349843806918
2017Q1,-1.8589735993242746,-6.898153398227365,3.217058712043214
2017Q2,-1.8317978599643887,-7.287229580725508,3.3151460797632426
2017Q3,-1.6185453226073865,-6.948449224160055,3.769609465480286
2017Q4,-1.4734198842967674,-6.7971246833720285,3.945442870438973
2018Q1,-1.198680562355252,-6.349765227674573,4.024728366562639
2018Q2,-0.8500884694149032,-5.6744018032095935,4.079531355213437
2018Q3,-1.1859872300583736,-5.486131741226047,2.9666079313785114
2018Q4,-0.7367207776773638,-4.767946720051237,3.295336236806937
2019Q1,0.21447709558466235,-3.85175714541499,4.462114032624665
2019Q2,1.026689969330743,-2.9699110764272154,5.650526488430438
2019Q3,1.0339884908817834,-3.0362652679474196,5.604853435900825
2019Q4,1.0794959786679235,-2.4235262663153327,5.2111477318251955
2020Q1,0.8260140077809914,-2.4217793033527255,4.536011351457852
2020Q2,-1.2979561421032808,-3.7045246310663975,1.096913245288247
2020Q3,-0.9921187061938354,-4.075844075445009,2.0732352323264207
2021Q2,-0.78954787834281,-4.718570928164392,3.1290645472538827
2021Q3,-0.7291962901114701,-5.499144487901818,4.111065595148917
2021Q4,-0.8643123622522074,-6.454689722747353,5.016489304305064
2022Q1,-1.308571895544129,-5.532644410314161,2.9220458587055815
2022Q2,-1.5483741217947535,-5.575139677422885,2.3826800401890345
2022Q3,-1.6629130174436297,-5.309920015292225,1.8585411729281334
2022Q4,-1.520529541161183,-5.37619001277502,2.2501282570087118
2023Q1,-1.901227089409704,-6.269125532022949,2.4999347782555503
2023Q2,-2.351395767635943,-7.201980565083965,2.436080684595434
2023Q3,-2.705267124562882,-7.822191038113556,2.139815175356254
2023Q4,-2.869796985079751,-7.559344336245594,1.865595932114391
2024Q1,-3.2784229506875673,-8.228204865840315,1.5930868739812722
2024Q2,-3.592052344819202,-8.909565612679975,1.4509964890785734
2024Q3,-3.7814461716992285,-8.965976926382623,1.2106628529208707
2024Q4,-3.3584304446562907,-8.548233584560382,1.6775983738856572
2025Q1,-3.5263585558246477,-9.637512339568152,2.331219721410194
2025Q2,-3.501184062896398,-11.033570476645552,3.9443892249375962
