quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.40306236916284305,-2.500706559959209,1.653277082403814
2014Q1,-0.8428492138957677,-3.1585849962991146,1.5163136181244625
2014Q2,-1.302930830099382,-3.82202637552342,1.135221766233462
2014Q3,-1.838256834851818,-4.4638839114551345,0.8894650218390618
2014Q4,-2.227539853924347,-5.110350271856231,0.5323849781028482
2015Q3,-2.650478365021545,-5.618880554204596,0.3993523755547777
2015Q4,-3.241552746678624,-6.580025746304125,-0.09222075308303136
2016Q1,-3.565704993145603,-6.889533176516278,-0.30522838769521243
2016Q2,-3.6980886702838753,-7.062162665250833,-0.4538442253081704
2016Q3,-3.877015495274004,-7.602282978760909,-0.25447948681486565
2016Q4,-4.042875411934342,-8.031894806279446,-0.10516786705802729
2017Q1,-3.9073898320862397,-7.837075258661966,-0.12290848961314865
2017Q2,-4.047913185102676,-8.247045469679358,-0.10992204131090258
2017Q3,-4.1220436642320815,-8.354975470940078,0.02009914894654538
2017Q4,-4.234294940477297,-8.655896709981707,-0.06785646451848026
2018Q1,-4.196007009944682,-8.457232752412565,-0.08726843691548576
2018Q2,-4.202091495691362,-8.43556618902431,0.007473762810514325
2018Q3,-3.9362018822721243,-7.81546785596989,0.07487513041334493
2018Q4,-3.5321463959264845,-7.024998581627547,0.1025039958426931
2019Q1,-3.1787325604293337,-6.568583520705438,0.3977702459637279
2019Q2,-2.544156810313283,-5.607254716315778,0.6951631112801948
2019Q3,-2.0831475809131095,-4.980557427675168,1.0156508597571652
2019Q4,-1.8268365458258897,-4.52521042027231,1.079493668201042
2020Q1,-1.921797316672733,-4.557251168736307,0.8333850180374451
2020Q2,-1.8777481240092209,-4.3380072644465395,0.5413711646472847
2020Q3,-1.3399831745819026,-4.247286759363778,1.588328278571541
2021Q2,-1.294844301681066,-4.742545957312703,2.0390929063958803
2021Q3,-1.2376280085223232,-5.149486545365347,2.7352036874902463
2021Q4,-1.1757469505056317,-5.553428104128013,3.304120619321082
2022Q1,-1.6242383345463238,-4.9507907756727,1.642064515487521
2022Q2,-1.658360223765644,-4.977884184230108,1.4198653182672696
2022Q3,-1.7336627023871984,-5.021284032122624,1.3565202678103618
2022Q4,-1.6375276866094721,-5.06997783496461,1.6344448707525407
2023Q1,-1.4685169796928996,-5.147651191851841,2.107522990945247
2023Q2,-1.521848334740704,-5.31855002429778,2.182657158934712
2023Q3,-1.6791075653309964,-5.606559313623032,2.0965687222384313
2023Q4,-1.960101082471312,-5.714765770056763,1.6755174588884534
2024Q1,-2.2082454799193676,-6.186957531037729,1.6256488532937272
2024Q2,-2.6020059332647145,-6.867035779966058,1.3530541971956553
2024Q3,-2.7648001139118428,-6.97090826449235,1.2654017567275921
2024Q4,-2.681603198359317,-7.118989229042963,1.4695931016611379
2025Q1,-2.664816072434068,-7.567346140563263,1.946872490914307
2025Q2,-2.3294149213026025,-7.990245396569826,3.085223316733659
