param,mean,sd,p05,p95
alpha,1.072795022482335,0.47908467911171065,0.2912484405323116,1.8481686298377098
gamma_Food_CPI_YoY_qavg,-0.2856751086914928,0.5161693382451082,-1.138629942399949,0.5695181366656625
gamma_M2_YoY,-0.09894003463893523,0.5092415842997188,-0.9383687926328669,0.7253623981361915
gamma_PPI_YoY,0.36189612688417083,0.5300090363216186,-0.493101701234373,1.2307401015097452
d_epu_qavg,0.07615866330916081,0.20081450268618092,-0.24938774173474548,0.39980977336840884
d_gpr_qavg,0.0206587688185687,0.28581453830708387,-0.4480281612958726,0.4792802438023536
R_var,9.941541235379372,2.2770344851659527,6.809682479369106,14.12733805385447
Q_var,0.2787332677311789,0.250042848771728,0.07386735543016962,0.7317208484317088
