date,epu
2000-01-01,58.98450388
2000-02-01,15.91917893
2000-03-01,46.51684733
2000-04-01,28.30297269
2000-05-01,31.42203087
2000-06-01,43.22094891
2000-07-01,42.66123811
2000-08-01,27.39628704
2000-09-01,31.49993892
2000-10-01,42.28805325
2000-11-01,10.11133275
2000-12-01,48.47464547
2001-01-01,52.62861578
2001-02-01,40.72209758
2001-03-01,58.16461627
2001-04-01,26.10220578
2001-05-01,27.74165868
2001-06-01,41.25226474
2001-07-01,30.33482603
2001-08-01,38.78087531
2001-09-01,43.49153501
2001-10-01,51.09976936
2001-11-01,53.28476419
2001-12-01,60.70131235
2002-01-01,62.38264445
2002-02-01,40.89060422
2002-03-01,54.13427806
2002-04-01,45.87688992
2002-05-01,46.98545817
2002-06-01,30.36735404
2002-07-01,54.34513958
2002-08-01,44.13366267
2002-09-01,55.47708073
2002-10-01,56.66385825
2002-11-01,59.87563908
2002-12-01,91.01698588
2003-01-01,46.17538027
2003-02-01,27.99059579
2003-03-01,71.17307215
2003-04-01,101.5685022
2003-05-01,68.83051993
2003-06-01,54.98127915
2003-07-01,85.33410614
2003-08-01,61.09827881
2003-09-01,49.72216012
2003-10-01,62.86618255
2003-11-01,38.85626513
2003-12-01,53.13373679
2004-01-01,55.86837054
2004-02-01,57.55554258
2004-03-01,47.8987523
2004-04-01,58.92070524
2004-05-01,37.12159777
2004-06-01,51.07455418
2004-07-01,47.37072801
2004-08-01,44.32878307
2004-09-01,34.60433438
2004-10-01,61.89868006
2004-11-01,48.65249522
2004-12-01,73.23189522
2005-01-01,48.80532803
2005-02-01,39.65326665
2005-03-01,41.16379089
2005-04-01,79.47127508
2005-05-01,23.71642907
2005-06-01,46.79182074
2005-07-01,61.57892682
2005-08-01,59.42799789
2005-09-01,69.96823336
2005-10-01,52.49449423
2005-11-01,35.51594974
2005-12-01,64.14776984
2006-01-01,97.78352513
2006-02-01,63.49165087
2006-03-01,55.14808161
2006-04-01,59.35218542
2006-05-01,37.87595456
2006-06-01,46.96744424
2006-07-01,55.85743267
2006-08-01,59.3136178
2006-09-01,24.8763386
2006-10-01,70.7632217
2006-11-01,59.04700638
2006-12-01,64.14934971
2007-01-01,28.99723042
2007-02-01,39.75543733
2007-03-01,60.24590986
2007-04-01,41.06160056
2007-05-01,37.01333131
2007-06-01,44.43644407
2007-07-01,58.83501566
2007-08-01,50.13804935
2007-09-01,59.03321823
2007-10-01,55.08271211
2007-11-01,46.67106496
2007-12-01,84.05054526
2008-01-01,82.04292545
2008-02-01,54.38575826
2008-03-01,135.9465055
2008-04-01,91.60267924
2008-05-01,67.59962873
2008-06-01,62.94436205
2008-07-01,126.0443442
2008-08-01,128.4167412
2008-09-01,103.9330504
2008-10-01,150.5302522
2008-11-01,126.0783957
2008-12-01,125.1415112
2009-01-01,133.947781
2009-02-01,102.8741879
2009-03-01,116.0514077
2009-04-01,81.10388061
2009-05-01,57.25819516
2009-06-01,179.8466198
2009-07-01,134.7848897
2009-08-01,121.9350516
2009-09-01,190.3161026
2009-10-01,121.2544527
2009-11-01,123.0599435
2009-12-01,103.5806473
2010-01-01,119.1620388
2010-02-01,106.0494584
2010-03-01,143.9223773
2010-04-01,95.04216108
2010-05-01,106.9251537
2010-06-01,138.4905103
2010-07-01,127.5013123
2010-08-01,95.15978271
2010-09-01,82.11461538
2010-10-01,97.89968256
2010-11-01,93.28746339
2010-12-01,125.7659377
2011-01-01,155.0462553
2011-02-01,59.00743678
2011-03-01,120.7701324
2011-04-01,135.1717412
2011-05-01,74.12288335
2011-06-01,102.6547133
2011-07-01,99.84159509
2011-08-01,140.2647613
2011-09-01,142.514988
2011-10-01,157.7215381
2011-11-01,161.8502214
2011-12-01,159.6143965
2012-01-01,120.4490894
2012-02-01,139.152505
2012-03-01,136.7797916
2012-04-01,126.3162952
2012-05-01,133.1500448
2012-06-01,139.038172
2012-07-01,120.4032902
2012-08-01,78.76684521
2012-09-01,120.4692178
2012-10-01,113.1046342
2012-11-01,122.3191181
2012-12-01,142.077437
2013-01-01,130.1575789
2013-02-01,84.2713502
2013-03-01,90.5134379
2013-04-01,119.6711113
2013-05-01,71.52192778
2013-06-01,102.7161109
2013-07-01,76.2399961
2013-08-01,100.9112249
2013-09-01,100.9327663
2013-10-01,153.1258459
2013-11-01,120.5846365
2013-12-01,124.1559747
2014-01-01,103.5485547
2014-02-01,70.57914407
2014-03-01,99.97414417
2014-04-01,129.5463889
2014-05-01,77.43149688
2014-06-01,105.8055156
2014-07-01,94.60066506
2014-08-01,77.59931977
