report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,quarter,price_sentiment_index,price_expectation_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share
2013年第4季度城镇储户问卷调查报告,2013Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542268118/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013第4季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第4季度城镇储户问卷调查报告.pdf,7cc7554d2caf142a06180f2a30bc6377d6d03d4b6581e1e3f7ad5b8426cc1341,2013Q4,20.5,72.2,50.3,54.1,38.8,49.7,61.6,41.5,13.4,12.8
2014年第1季度城镇储户问卷调查报告,2014Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542160274/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第1季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第1季度城镇储户问卷调查报告.pdf,e61ec4d9da43e26ad9ae43eb354472bf9c3c4a86b395fa28ccbbf35361cc9244,2014Q1,23.6,63.9,50.7,53,40.6,49.9,55.8,48.5,14,13.3
2014年第2季度城镇储户问卷调查报告,2014Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212535975104/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014第2季度城镇储户问卷调查报告(1).pdf,data\raw\pboc_depositor_survey\pdfs\2014年第2季度城镇储户问卷调查报告.pdf,99aa588a61592b9233c390fdefb085ab0a0a1bbe21220e5552a47652d5295d67,2014Q2,23.2,63.8,48.3,51.6,38.6,47.8,56.5,50.1,7.1,13.4
2014年第3季度城镇储户问卷调查报告,2014Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540056279/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第3季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第3季度城镇储户问卷调查报告.pdf,1d15624894d715bf3afa93e95f538c767e5830338a22dade9f4a6347be7ad899,2014Q3,25.1,64.1,49.2,52.5,39.22,488.2,25.1,54,6.7,11.7
2014年第4季度城镇储户问卷调查报告,2014Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541993849/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第4季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第4季度城镇储户问卷调查报告.pdf,5640e9f49cd2c58f261181ea8061ee18477a5a1c8477c33f53405efc77fd2624,2014Q4,25.4,64.5,49.2,53.4,38.8,48.4,52.9,50.1,6.6,13.8
2015年第1季度城镇储户问卷调查报告,2015Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540292214/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2015年第一季度城镇储户问卷调查报告.PDF,data\raw\pboc_depositor_survey\pdfs\2015年第1季度城镇储户问卷调查报告.pdf,f5fb2eeb394bf742a545417e54d2e5379c76112b60b9829f444791d6ad4008f4,2015Q1,27.7,59,50.8,51.4,40.66,477.8,27.7,48.8,10.2,100.9
2015年第2季度城镇储户问卷调查报告,2015Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540277103/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2015年第二季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第2季度城镇储户问卷调查报告.pdf,111ebf7b15eddb9bcd78df75347c22b1fe86cb009aa6560b27d1d5e4e8952950,2015Q2,28.4,60.4,48.5,51.5,40.1,47.8,47.4,54.1,8,13.4
2015年第3季度城镇储户问卷调查报告,2015Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543067187/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543067187/2015093014532074686.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第3季度城镇储户问卷调查报告.pdf,be82eb3b01d5181030fea038e98dfcd4f098772a6816137590be881bc7d8a4d8,2015Q3,27.8,63.5,47.3,50.1,38.2,46.3,48,50.2,7.3,13.6
2015年第4季度城镇储户问卷调查报告,2015Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543275802/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543275802/2015122416031664001.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第4季度城镇储户问卷调查报告.pdf,46a2f7f8e989183de15d90d0d7daba5cec16fae450a0b0f7ef7552dee93f5bfc,2015Q4,26.3,63.8,45.3,49.1,38.3,45.3,51.1,50.1,7.2,13.7
2016年第一季度城镇储户问卷调查报告,,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543523694/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543523694/2016033116030448392.pdf,data\raw\pboc_depositor_survey\pdfs\2016年第一季度城镇储户问卷调查报告.pdf,4c81d7344431a2ac22f097a2cc1d8ec1bc233c439af78bb9585c9f43ae42f0c3,2016Q1,25.2,57.3,46.2,48.4,37.6,44.8,52.7,51.6,11.9,14.2
