quarter,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct
2000Q1,0.0,0.0,7.966666666666666,13.566666666666668,100.96666666666665,102.21,0.0,-100.0,,,100.96666666666665,0.9666666666666686,102.91900000000001,,,,21569.1,
2000Q2,0.0,0.0,11.700000000000001,13.366666666666665,102.66666666666667,102.24666666666667,0.0,-100.0,,,102.66666666666667,2.6666666666666665,111.37357457415003,,,,24277.1,
2000Q3,0.0,0.0,12.533333333333333,13.366666666666667,104.03333333333335,103.25999999999999,0.0,-100.0,,,104.03333333333335,4.033333333333336,125.39861883384124,,,,25973.8,
2000Q4,33.333333333333336,0.0,10.799999999999999,12.333333333333334,103.3,103.70333333333333,33.333333333333336,-66.66666666666667,100.0,,103.3,3.299999999999997,138.2248008756363,,,,29488.6,
2001Q1,100.13333333333333,0.0,10.366666666666667,12.9,100.83,105.46333333333332,100.13333333333333,0.13333333333333522,100.3948946,,100.83,0.8300000000000031,141.68996199710344,39.29327605610904,1.5889595612455842,,24390.6,13.081213402506364
2001Q2,99.5,0.0,10.6,13.066666666666668,99.7,106.46666666666665,99.5,-0.5,98.89159349564694,,99.7,-0.29999999999999716,140.41758443808993,30.21459620744872,-5.85635968319086,,27017.8,11.289239653830151
2001Q3,100.16666666666667,0.0,8.566666666666666,14.5,97.93333333333334,106.21666666666665,100.16666666666667,0.16666666666666666,99.38199245767015,,97.93333333333334,-2.0666666666666678,131.88152365460286,12.189522776520922,1.9983855800185912,,28662.0,10.349660042042363
2001Q4,100.06666666666666,0.0,8.466666666666667,14.966666666666667,96.39999999999999,105.33333333333333,100.06666666666666,0.06666666666666288,99.58025893633123,-0.41974106366876596,96.39999999999999,-3.599999999999999,118.14225422757283,-8.21176304909323,0.8003887782513264,-0.41974106366876596,32086.9,8.811201616896035
2002Q1,100.03333333333335,0.0,4.533333333333334,13.5,95.96666666666665,103.77,100.03333333333335,0.03333333333333144,99.66495901675493,-0.5873195883090246,95.96666666666665,-4.033333333333331,104.41583347607578,-22.82322265663952,0.3406627288132569,-0.7270644450131925,26666.0,9.329003796544576
2002Q2,99.5,0.0,12.466666666666667,14.266666666666666,97.27666666666666,104.54,99.5,-0.5,98.17625545105999,-0.9898948847503716,97.27666666666666,-2.723333333333334,96.11435093847328,-30.090958630005776,-5.842290671656148,-0.723355766957523,29550.7,9.374930601307296
2002Q3,100.2,0.0,13.1,15.466666666666667,98.18333333333334,104.57333333333334,100.2,0.1999999999999981,98.7593036151702,-0.7581394760337331,98.18333333333334,-1.8166666666666675,90.96847446586213,-31.79352937661802,2.396761443002582,-0.6265610369657004,31664.4,10.47519363617333
2002Q4,100.13333333333333,0.0,14.533333333333333,16.8,99.65666666666668,104.74333333333334,100.13333333333333,0.13333333333333522,99.15443899637867,-0.5931386667163826,99.65666666666668,-0.3433333333333337,90.02998574936257,-26.828837817380535,1.6100280165078473,-0.42761481492513687,35430.7,10.421075267476754
2003Q1,100.13333333333333,0.0,12.233333333333334,18.633333333333336,103.64333333333333,108.45666666666666,100.13333333333333,0.13333333333333522,99.54599452163568,-0.5227591750750124,103.64333333333333,3.643333333333331,100.22105914219888,-11.555683054773505,1.588959561245673,-0.11936441482833793,30282.0,13.56033900847522
2003Q2,99.33333333333333,0.0,15.166666666666666,20.066666666666666,102.30666666666667,106.73666666666668,99.33333333333333,-0.6666666666666666,97.56630799850075,-0.3535903647286842,102.30666666666667,2.306666666666667,107.30335542959824,7.223679840956568,-7.720692760497139,-0.6212779757762243,32978.2,11.59871001363757
2003Q3,100.46666666666665,0.0,16.633333333333336,21.0,101.38,106.93666666666667,100.46666666666665,0.46666666666666856,98.93112210324243,-0.09037922641157066,101.38,1.3800000000000001,111.80729981051014,19.46218369820591,5.7139389675370245,0.1739770146028441,35778.3,12.992193125402673
2003Q4,100.83333333333333,0.0,17.733333333333334,20.333333333333332,102.04666666666667,106.44,100.83333333333333,0.8333333333333334,101.42463552753851,1.7159563431225378,102.04666666666667,2.046666666666667,118.80476762804176,28.777089840095545,10.469422322137811,2.2895561249080876,40338.8,13.85267578681766
2004Q1,100.39999999999999,0.0,14.199999999999998,18.866666666666667,103.66666666666667,106.81666666666666,100.39999999999999,0.3999999999999962,102.64223158302066,2.868976252469535,103.66666666666667,3.6666666666666665,132.35734811687158,32.74879074819669,4.88913879416486,3.110358258274304,35107.8,15.93619972260749
2004Q2,99.89999999999999,0.0,17.599999999999998,17.599999999999998,105.70333333333333,105.62333333333333,99.89999999999999,-0.09999999999999905,102.33092128710746,4.3926697764039195,105.70333333333333,5.703333333333338,156.31308372987505,39.419080796383305,-1.2076778254717757,4.88346170553049,39251.8,19.02347611452415
2004Q3,100.53333333333335,0.0,15.833333333333334,14.266666666666666,107.04666666666667,105.08,100.53333333333335,0.5333333333333314,103.97239583651208,5.165042493009324,107.04666666666667,7.046666666666667,191.72991450575844,61.78527830827206,6.572381244967929,5.095740982305519,42448.0,18.641746533513313
2004Q4,99.93333333333334,0.0,14.966666666666667,14.033333333333333,107.87666666666667,105.09333333333332,99.93333333333334,-0.06666666666666761,103.76413912765152,3.0942076779832965,107.87666666666667,7.876666666666665,240.6873925313573,93.71355023669317,-0.7987960074120726,2.306642353649657,47420.3,17.555058653207322
2005Q1,100.5,55.699999999999996,7.566666666666666,14.0,105.60666666666667,102.75333333333333,100.5,0.4999999999999953,105.30929382879731,2.7466165287767317,105.60666666666667,5.606666666666669,283.4819614384079,110.72850646630911,6.090782536711892,2.5984063329911544,41079.2,17.0087558890047
2005Q2,99.56666666666666,53.76666666666667,16.46666666666667,14.833333333333334,105.66333333333334,102.17,99.56666666666666,-0.4333333333333324,103.94511218169293,1.6796480118020929,105.66333333333334,5.663333333333331,334.4204026613558,115.33108914328669,-5.081801482153681,1.577422419618979,45399.8,15.662975965433423
2005Q3,100.3,52.93333333333334,16.2,17.166666666666668,104.98333333333333,101.71666666666665,100.3,0.3000000000000019,104.88207342289873,1.310507879711446,104.98333333333333,4.983333333333334,386.9428950803167,107.28186757235743,3.6546449407098613,0.8749222128314083,48681.7,14.68549754994346
2005Q4,100.16666666666667,54.166666666666664,16.400000000000002,17.96666666666667,103.48,100.77333333333333,100.16666666666667,0.1666666666666714,105.4056396990863,1.3795991463397606,103.48,3.479999999999999,428.75342848267667,85.50276978002266,2.011782371909132,1.5819536356538322,54746.8,15.450134225215773
2006Q1,100.3,53.166666666666664,12.633333333333335,18.933333333333334,102.85000000000001,101.08999999999999,100.3,0.29999999999999716,106.34400444702803,1.4179584027184555,102.85000000000001,2.849999999999999,466.4622279667556,69.21419231105779,3.6088006410158524,0.9825444465640931,47831.7,16.437759255292228
2006Q2,99.86666666666667,55.666666666666664,18.0,18.8,102.60666666666667,102.13666666666667,99.86666666666667,-0.1333333333333305,105.91788508464883,1.6591813207232908,102.60666666666667,2.606666666666669,503.8650376945722,54.101612300509835,-1.5931881273472115,1.8978986712790746,53415.3,17.65536412054678
2006Q3,100.16666666666667,54.166666666666664,16.166666666666668,17.7,103.47666666666667,103.32000000000001,100.16666666666667,0.16666666666666666,106.44651648280146,1.5924734676217172,103.47666666666667,3.476666666666669,558.2659820533443,46.12619543167642,2.0113775702766734,1.4916210262116758,56820.5,16.71839726221558
2006Q4,100.60000000000001,54.93333333333334,14.766666666666666,16.933333333333334,102.93666666666667,103.42666666666666,100.60000000000001,0.5999999999999991,108.36883859471804,1.9323030587565053,102.93666666666667,2.9366666666666674,608.9065725607278,42.37245967352221,7.421660665695495,2.8112337291354983,64510.8,17.83483235549841
2007Q1,100.46666666666665,54.76666666666667,10.066666666666668,16.96666666666667,102.85000000000001,101.80666666666667,100.46666666666665,0.46666666666666856,109.8880385855213,2.7485491563089988,102.85000000000001,2.849999999999999,662.4563964888661,42.0584599380133,5.726537771446116,3.332613020284203,58080.6,21.427003430779166
2007Q2,100.2,56.26666666666667,18.3,16.96666666666667,102.70666666666666,103.2,100.2,0.20000000000000284,110.5479149385709,3.6101041177472113,102.70666666666666,2.7066666666666683,717.7143447426182,43.24211052941822,2.4237178742203547,4.371339033272603,65751.0,23.093944993288428
2007Q3,100.8,54.46666666666667,18.133333333333333,18.366666666666667,102.55333333333333,104.49000000000001,100.8,0.8000000000000019,113.22000440807555,6.188736787420328,102.55333333333333,2.5533333333333323,774.1050681262861,39.709720335934286,10.024764343988778,6.363278150458296,70494.1,24.06455416619002
2007Q4,100.66666666666667,54.63333333333333,17.53333333333333,17.900000000000002,104.39666666666666,106.25999999999999,100.66666666666667,0.6666666666666666,115.49812789297135,6.7184462605316115,104.39666666666666,4.396666666666666,880.6633694330962,41.65592608362048,8.29467678064779,6.578726311643601,79854.0,23.783924552168003
2008Q1,101.03333333333335,54.93333333333334,11.066666666666668,17.5,106.88,105.46,101.03333333333335,1.0333333333333314,119.08363052362523,8.093578896400862,106.88,6.88,1075.137045148802,55.04380560205677,13.00781738250516,8.368146393792797,70609.6,21.571746848345242
2008Q2,99.83333333333333,54.833333333333336,15.9,17.466666666666665,108.39333333333333,103.49666666666667,99.83333333333333,-0.1666666666666714,118.48845149093718,7.86508944597734,108.39333333333333,8.393333333333336,1369.1969593022463,80.33063784746925,-1.9842587229653597,7.182891289065618,79965.0,21.617922160879676
2008Q3,100.0,49.333333333333336,12.966666666666667,15.9,109.74000000000001,101.76333333333334,100.0,0.0,118.48833300248569,5.317797493940117,109.74000000000001,9.74,1809.4671479928206,119.58482924492479,-0.00039999940001367307,4.653178227605137,83668.3,18.688372502095916
2008Q4,99.56666666666666,41.53333333333333,6.433333333333334,15.866666666666667,102.48,98.2,99.56666666666666,-0.4333333333333324,116.95342944933151,2.588245398248786,102.48,2.479999999999999,1944.667529441478,132.57220279422816,-5.081801482153558,1.2600217708366168,90075.0,12.799609286948677
