date,Food_CPI_MoM_index,Food_CPI_level,Food_CPI_YoY
2006-12-01,103.8,103.8,
2007-01-01,102.0,105.87600000000002,
2007-02-01,102.7,108.73465200000003,
2007-03-01,99.6,108.29971339200004,
2007-04-01,99.4,107.64991511164806,
2007-05-01,100.6,108.29581460231795,
2007-06-01,101.3,109.70366019214805,
2007-07-01,102.4,112.33654803675961,
2007-08-01,103.3,116.04365412197266,
2007-09-01,100.3,116.39178508433857,
2007-11-01,101.4,118.0212700755193,
2007-12-01,102.5,120.97180182740728,
2008-01-01,103.3,124.96387128771171,20.3890860189901
2008-02-01,107.1,133.83630614913923,26.408540319939554
2008-03-01,98.2,131.42725263845475,20.869704570769866
2008-04-01,99.9,131.2958253858163,21.233769945983028
2008-05-01,98.7,129.5889796558007,20.38001100270146
2008-06-01,99.2,128.5522678185543,18.70474245992031
2008-07-01,99.9,128.42371555073575,17.064203077453534
2008-08-01,99.6,127.91002068853281,13.863228774554415
2008-09-01,99.7,127.52629062646722,9.895100763050113
2008-10-01,99.1,126.378554010829,8.580303944349632
2008-11-01,99.0,125.11476847072072,6.010355921998167
2008-12-01,100.8,126.11568661848649,4.2521353847552845
2009-01-01,103.3,130.27750427689654,4.252135384755262
2009-02-01,100.8,131.31972431111168,-1.8803431672891668
2009-04-01,99.2,130.2691665166228,-0.8811613258155493
2009-05-01,99.4,129.48755151752306,-1.3772516094701315
2009-07-01,99.8,129.228576414488,-0.278112569656741
2009-08-01,101.3,130.90854790787634,1.8329354505420392
2009-09-01,100.7,131.82490774323148,2.648414413108946
2009-10-01,99.2,130.77030848128564,2.2361717849438634
2009-11-01,100.5,131.42416002369205,3.056522210500079
2009-12-01,102.9,135.23546066437916,7.00823547386944
2010-01-01,101.8,137.66969895633798,10.034731022625332
2010-02-01,103.3,142.21279902189713,12.763767010289628
2010-03-01,98.5,140.07960703656866,7.524017913974146
2010-04-01,99.9,139.93952742953212,6.563982039742267
2010-05-01,99.5,139.23982979238446,6.886252146717298
2010-06-01,98.4,137.0119925157063,5.810937738802635
2010-07-01,100.9,138.24510044834767,6.977190559571
2010-08-01,102.0,141.01000245731464,7.716420899074472
2010-09-01,101.2,142.7021224868024,8.251259135911981
2010-10-01,101.1,144.27184583415723,10.3246199459748
