quarter,pi_baseline,mu_cp,sigma_cp,mu_cp_lower,mu_cp_upper,delta_used,effective_sample_share
2010Q4,0.766666666666666,,,,,0.5,1
2011Q1,0.666666666666671,,,,,0.5,1
2011Q2,0.166666666666671,,,,,0.5,1
2011Q3,0.433333333333337,-6.49427988059392,7.78811632295071,-7.6301297739762,-5.81379010619218,0.5,0.87
2011Q4,0.0666666666666629,,,,,0.5,1
2012Q1,0.533333333333346,,,,,0.5,1
2012Q2,-0.333333333333329,,,,,0.5,0.499
2012Q4,0.266666666666666,,,,,0.5,0.482
2013Q1,0.399999999999991,1.24808827712319,-0.868191818773855,1.767391934216,0.176187572597795,0.5,0.581
2013Q2,-0.133333333333326,,,,,0.5,0.462
2013Q3,0.466666666666654,1.63217235406775,1.40372418032084,1.45798325782761,1.83785852983583,0.5,0.875
2013Q4,0.100000000000009,1.73623993773034,2.09266933692886,1.46204634325603,2.05087227893356,0.5,0.872
2014Q1,0.333333333333329,1.42673378825814,1.61208724136986,1.15198753394796,1.6907250439799,0.5,0.867
2014Q2,-0.366666666666674,0.525224769513019,1.00004035283825,0.381212422615811,0.684130810797367,0.5,0.866
2014Q3,0.266666666666666,0.482059548991916,0.499102510426438,0.339485392633971,0.582997805856212,0.5,0.883
2014Q4,0.0333333333333457,0.78688303896271,0.877495044712419,0.629742536113729,0.9350057850226,0.5,0.862
2015Q1,0.333333333333329,,,,,0.5,0.01
2015Q2,-0.133333333333326,0.465196115176449,0.828298554187554,0.290639962130248,0.609035774316484,0.5,0.866
2015Q3,0.299999999999997,0.913054933024789,0.809209728485298,0.741685236059476,1.05456362613096,0.5,0.864
2015Q4,0.0666666666666629,0.769390645096293,0.870048329686794,0.601916210391789,0.918082811413861,0.5,0.863
2016Q1,0.554956706666658,1.41975570492077,1.25648635253297,1.17325643875736,1.64344066366735,0.5,0.858
2016Q2,-0.255501219999999,0.580794952449935,1.04652453147386,0.37706403058308,0.770012519851637,0.5,0.853
2016Q3,0.309066900000005,0.538626239266733,0.519569538980714,0.399479336809435,0.638081825053548,0.5,0.886
2016Q4,0.0827705633333267,0.60045668217411,0.681978478093188,0.445023848592685,0.718292522933093,0.5,0.87
2017Q1,0.171242140000004,0.18575069768793,-1.98497972057378,0.515204758532013,-0.144442668979005,0.5,0.885
2017Q2,-0.0652728066666697,-0.0285851063072492,-1.97100742613288,0.239231713508732,-0.29775632604754,0.5,0.904
2017Q3,0.353732899999997,0.334445897870507,-0.760229753739221,0.717826321552711,-0.0421720250927879,0.5,0.736
2017Q4,0.153675100000001,0.871115185310824,0.910123136895129,0.752511698327832,0.988099081165417,0.5,0.895
2018Q1,0.242901019999991,0.956522235772268,0.864849719480828,0.849935438145627,1.0648019003208,0.5,0.897
2018Q2,-0.150311860000002,0.55202107508113,0.84660657314034,0.451088079733023,0.654929197125304,0.5,0.9
2018Q3,0.556529633333341,0.535279983886558,-1.82706209235155,0.811619470270621,0.259891793371026,0.5,0.895
2018Q4,-0.0458529333333217,0.656836437197653,0.875732605444009,0.543743888304679,0.768325836644229,0.5,0.896
2019Q1,0.375562366666671,0.354929708380842,-2.0596827749126,0.641635135820851,0.0690008556444208,0.5,0.902
2019Q2,6.42433333268855e-05,0.708202218465266,0.953485199226963,0.582162224467596,0.829489841004665,0.5,0.897
2019Q3,0.667951566666659,0.671615348143901,0.428067476122857,0.535602844423717,0.806485797995734,0.5,0.869
2019Q4,0.41560441,-0.297647831865505,-1.01144916183877,1.15153461644446,-1.09728609550271,0.5,0.521
2020Q1,0.32094433666667,-0.466711739531343,-0.682099705044112,0.864473347816741,-0.958008650812797,0.5,0.508
2020Q2,-0.57376829333333,,,,,0.5,0.488
2020Q3,0.416457833333325,0.490474749914738,0.477470890178656,0.357624503755245,0.606184200509195,0.5,0.881
2020Q4,-0.0666666666666629,0.0147542738854242,0.438148468186171,-0.122706690149265,0.129677766288435,0.5,0.878
2021Q1,0.366666666666674,0.436380772322972,0.426092106603708,0.305648234384325,0.547448323241978,0.5,0.883
2021Q2,-0.299999999999997,-0.225122632621821,0.415860115425173,-0.352695701637092,-0.118998675620748,0.5,0.887
2021Q3,0.133333333333326,0.206730256281354,0.439925594066107,0.0647802307056643,0.327719882895894,0.5,0.873
2021Q4,0.266666666666666,0.283933641980475,0.418620397146573,0.144728061269537,0.41749960510564,0.5,0.868
2022Q1,0.333333333333329,0.893237112585261,0.81548027804956,0.751877428647133,1.01197838404481,0.5,0.888
2022Q2,0.0666666666666629,0.0929198254876136,0.412333250962829,-0.0542325538061349,0.230922852319553,0.5,0.862
2022Q3,0.233333333333334,0.309715554175738,0.468547490156597,0.16293382738817,0.436447358328175,0.5,0.869
2022Q4,-0.0333333333333457,0.0231798812723539,0.457692045112913,-0.124253180037872,0.154744700816291,0.5,0.866
