spec,dep_var,coefficient,beta,se,p,n,r2
CP_Eq3_bivariate,fe_cp,meat_shock,-1.96028870599048,0.259252505714305,1.97490457442254e-08,69529,0.215036756063218
CP_Eq3_demographics,fe_cp,meat_shock,-2.86014806920404,5.78261056572784,0.624600504573873,22118,0.0229234153493125
CP_Eq3_prov_wave_FE,fe_cp,meat_shock,-5.69391664704332,1.19671441557719,4.61098027487155e-05,69529,0.827869357728238
CP_Eq3_region_wave_FE,fe_cp,meat_shock,-6.29050104061717,1.12899468452136,4.63873457831801e-06,69529,0.8005189345945
CP_Eq3_region_wave_FE_demog,fe_cp,meat_shock,-6.62830516896551,5.37340152925707,0.227279191349995,22118,0.154248335364037
CP_Eq3_prov_region_wave_FE,fe_cp,meat_shock,-7.61044049749455,1.12415852760244,1.65836208485559e-07,69529,0.88736504367922
OProbit_bivariate,price_exp_ord,meat_shock,0.0422672632842952,0.0139511347532385,0.00244825212069419,90133,
OProbit_region_wave_FE,price_exp_ord,meat_shock,0.353701872226991,0.104009879047525,0.000672242408856184,90133,
