scaling,beta,se,p,n,r2
Baseline (x1),-5.54586958631201,1.19331932750164,5.88532399548949e-05,69648,0.483993623978101
Symmetric wide (x2),-6.05412434056087,1.14061336228368,8.88496819097914e-06,69648,0.224195317154724
Very wide (x4),-7.07063384905905,1.13113376244027,6.02071594394983e-07,69648,0.0759080479067018
