param,mean,sd,p05,p95
alpha,1.0721799828643266,0.47691700936287845,0.2872381957020573,1.8433735170932612
gamma_Food_CPI_YoY_qavg,-0.26099755756416687,0.5162060570245849,-1.1034347685806432,0.587803592370836
gamma_M2_YoY,-0.09955613860726023,0.506690957080578,-0.9326023618850656,0.7156906396992537
gamma_PPI_YoY,0.3619749725555451,0.525785095357615,-0.49108713050913316,1.230507837685322
d_epu_qavg,0.07070381778559062,0.2542903195396513,-0.3541536808174206,0.4818570064544255
d_gpr_qavg,-0.023483011696247814,0.38348702664815143,-0.6651472605673255,0.5997167893422528
R_var,9.721158094517051,2.2801503156993657,6.625640130426479,13.887308620570805
Q_var,1.0026401355447883,0.8607975744204573,0.2757756417165035,2.499737868308503
