quarter,pi_baseline,mu_cp,sigma_cp,delta_used,effective_sample_share
2011Q1,0.6666666666666856,,,0.5,1.0
2011Q2,0.16666666666668561,,,0.5,1.0
2011Q3,0.4333333333333371,,,0.5,1.0
2011Q4,0.06666666666666288,,,0.5,1.0
2012Q1,0.5333333333333599,,,0.5,0.897
2012Q2,-0.3333333333333144,,,0.5,0.499
2012Q4,0.26666666666667993,,,0.5,0.482
2013Q1,0.4000000000000057,1.2480882771232067,-0.868191818773855,0.5,0.581
2013Q2,-0.13333333333332575,,,0.5,0.4620000000000001
2013Q3,0.46666666666664014,1.6321723540677326,1.4037241803208411,0.5,0.875
2013Q4,0.09999999999999432,1.7362399377303253,2.0926693369288643,0.5,0.872
2014Q1,0.3333333333333144,1.426733788258122,1.6120872413698568,0.5,0.867
2014Q2,-0.36666666666667425,0.5252247695130193,1.0000403528382469,0.5,0.866
2014Q3,0.26666666666667993,0.4820595489919298,0.4991025104264376,0.5,0.883
2014Q4,0.03333333333335986,0.7868830389627236,0.8774950447124187,0.5,0.862
2015Q1,0.3333333333333144,,,0.5,-0.009000000000000119
2015Q2,-0.13333333333332575,0.46519611517644927,0.8282985541875538,0.5,0.866
2015Q3,0.29999999999999716,0.9130549330247887,0.8092097284852984,0.5,0.864
2015Q4,0.06666666666666288,0.7693906450962928,0.8700483296867934,0.5,0.863
2016Q1,0.5549567066666583,1.4197557049207672,1.2564863525329684,0.5,0.858
2016Q2,-0.2555012199999993,0.5807949524499347,1.0465245314738632,0.5,0.853
2016Q3,0.3090669000000048,0.5386262392667327,0.5195695389807139,0.5,0.886
2016Q4,0.08277056333332666,0.6004566821741101,0.6819784780931873,0.5,0.87
2017Q1,0.17124214000000393,0.41534544871404994,0.5733500193759086,0.5,0.885
2017Q2,-0.06527280666668389,0.17066298481986142,0.5485810639314601,0.5,0.879
2017Q3,0.35373289999999713,0.36824145768792294,-1.9849797205737838,0.5,0.885
2017Q4,0.15367510000000095,0.19036280035942138,-1.9710074261328785,0.5,0.904
2018Q1,0.24290102000000502,0.22361401787051516,-0.7602297537392206,0.5,0.736
2018Q2,-0.15031186000000218,0.5671282253108205,0.9101231368951282,0.5,0.895
2018Q3,0.5565296333333407,1.270150849105618,0.864849719480828,0.5,0.897
2018Q4,-0.045852933333321744,0.6564800017478107,0.8466065731403405,0.5,0.9
2019Q1,0.37556236666668497,0.35431271721990276,-1.8270620923515468,0.5,0.895
2019Q2,6.424333332688548e-05,0.7027536138643016,0.87573260544401,0.5,0.896
2019Q3,0.6679515666666589,0.6473189083808304,-2.0596827749125977,0.5,0.902
2019Q4,0.41560441000000026,1.12374238513194,0.9534851992269631,0.5,0.897
2020Q1,0.32094433666668465,0.3246081181439264,0.4280674761228569,0.5,0.869
2020Q2,-0.5737682933333161,-1.2870205351988213,-1.0114491618387742,0.5,0.521
2020Q3,0.4164578333333253,-0.37119824286468783,-0.6820997050441122,0.5,0.508
2020Q4,-0.06666666666666288,,,0.5,0.488
2021Q1,0.36666666666667425,0.44068358324808743,0.4774708901786552,0.5,0.881
2021Q2,-0.29999999999999716,-0.21857905944791,0.43814846818617037,0.5,0.878
2021Q3,0.13333333333332575,0.20304743898962407,0.4260921066037077,0.5,0.883
2021Q4,0.26666666666667993,0.3415440340448556,0.4158601154251734,0.5,0.887
2022Q1,0.3333333333333144,0.4067302562813429,0.43992559406610693,0.5,0.873
2022Q2,0.06666666666666288,0.08393364198047243,0.41862039714657323,0.5,0.868
2022Q3,0.23333333333332007,0.7932371125852523,0.8154802780495598,0.5,0.888
2022Q4,-0.03333333333335986,-0.007080174512409276,0.41233325096282925,0.5,0.862
2023Q1,0.0,0.07638222084240387,0.4685474901565968,0.5,0.869
2023Q2,-0.03333333333335986,0.02317988127233972,0.4576920451129131,0.5,0.866
2023Q3,0.23333333333332007,0.2977713183809943,0.43682044595499536,0.5,0.866
2023Q4,-0.16666666666668561,-0.12890181055607752,0.4383567755738685,0.5,0.864
2024Q1,0.09999999999999432,0.13243846615055616,0.4550123223881667,0.5,0.868
2024Q2,-0.06666666666666288,-0.031233991841070397,0.43426785252703515,0.5,0.864
2024Q3,0.29999999999999716,0.3382088744407348,0.41547295565185766,0.5,0.871
2024Q4,-0.29999999999999716,-0.26871665308537546,0.4290978315968511,0.5,0.881
2025Q1,0.03333333333335986,0.06473317324776917,0.437748032056736,0.5,0.872
2025Q2,-0.06666666666666288,-0.051762075162455956,0.4073213076740395,0.5,0.873
2025Q3,0.16666666666668561,0.7070068681185118,1.2690666828052544,0.5,0.907
