quarter,pi_baseline,mu_cp,sigma_cp,delta_used,effective_sample_share
2011Q1,0.6666666666666856,,,0.7,1.0
2011Q2,0.16666666666668561,,,0.7,1.0
2011Q3,0.4333333333333371,,,0.7,1.0
2011Q4,0.06666666666666288,,,0.7,1.0
2012Q1,0.5333333333333599,,,0.7,0.897
2012Q2,-0.3333333333333144,,,0.7,0.499
2012Q4,0.26666666666667993,,,0.7,0.482
2013Q1,0.4000000000000057,1.5873235879724872,-1.215468546283397,0.7,0.581
2013Q2,-0.13333333333332575,,,0.7,0.4620000000000001
2013Q3,0.46666666666664014,2.0983746290281697,1.9652138524491776,0.7,0.875
2013Q4,0.09999999999999432,2.3907359128224575,2.92973707170041,0.7,0.872
2014Q1,0.3333333333333144,1.864093970228045,2.2569221379177993,0.7,0.867
2014Q2,-0.36666666666667425,0.8819813439848967,1.4000564939735456,0.7,0.866
2014Q3,0.26666666666667993,0.5682167019220298,0.6987435145970127,0.7,0.883
2014Q4,0.03333333333335986,1.088302921214469,1.2284930625973862,0.7,0.862
2015Q1,0.3333333333333144,,,0.7,-0.009000000000000119
2015Q2,-0.13333333333332575,0.7046078945803592,1.1596179758625753,0.7,0.866
2015Q3,0.29999999999999716,1.1582769062347054,1.1328936198794177,0.7,0.864
2015Q4,0.06666666666666288,1.0504802364681447,1.2180676615615105,0.7,0.863
2016Q1,0.5549567066666583,1.7656753042224107,1.7590808935461557,0.7,0.858
2016Q2,-0.2555012199999993,0.9153134214299082,1.4651343440634084,0.7,0.853
2016Q3,0.3090669000000048,0.6304499749734238,0.7273973545729994,0.7,0.886
2016Q4,0.08277056333332666,0.8075311297104234,0.9547698693304622,0.7,0.87
2017Q1,0.17124214000000393,0.5129867721996684,0.8026900271262719,0.7,0.885
2017Q2,-0.06527280666668389,0.26503730141447945,0.7680134895040441,0.7,0.879
2017Q3,0.35373289999999713,0.37404488076309317,-2.7789716088032974,0.7,0.885
2017Q4,0.15367510000000095,0.2050378805031896,-2.7594103965860297,0.7,0.904
2018Q1,0.24290102000000502,0.21589921701871917,-1.0643216552349088,0.7,0.736
2018Q2,-0.15031186000000218,0.8541042594351496,1.2741723916531795,0.7,0.895
2018Q3,0.5565296333333407,1.5555993354145286,1.210789607273159,0.7,0.897
2018Q4,-0.045852933333321744,0.9374131757802637,1.1852492023964767,0.7,0.9
2019Q1,0.37556236666668497,0.34581285744118984,-2.5578869292921653,0.7,0.895
2019Q2,6.424333332688548e-05,0.9838293620766914,1.2260256476216138,0.7,0.896
2019Q3,0.6679515666666589,0.639065845066499,-2.8835558848776364,0.7,0.902
2019Q4,0.41560441000000026,1.4069975751847155,1.3348792789177482,0.7,0.897
2020Q1,0.32094433666668465,0.3260736307348232,0.5992944665719996,0.7,0.869
2020Q2,-0.5737682933333161,-1.5723214319450232,-1.4160288265742837,0.7,0.521
2020Q3,0.4164578333333253,-0.686260673343893,-0.9549395870617571,0.7,0.508
2020Q4,-0.06666666666666288,,,0.7,0.488
2021Q1,0.36666666666667425,0.47029034988065266,0.6684592462501172,0.7,0.881
2021Q2,-0.29999999999999716,-0.18601068322707515,0.6134078554606385,0.7,0.878
2021Q3,0.13333333333332575,0.2309330812521434,0.5965289492451907,0.7,0.883
2021Q4,0.26666666666667993,0.37149498099612577,0.5822041615952428,0.7,0.887
2022Q1,0.3333333333333144,0.4360890254605543,0.6158958316925497,0.7,0.873
2022Q2,0.06666666666666288,0.09084043210599624,0.5860685560052025,0.7,0.868
2022Q3,0.23333333333332007,1.0171986242860251,1.1416723892693836,0.7,0.888
2022Q4,-0.03333333333335986,0.003421089015970935,0.5772665513479609,0.7,0.862
2023Q1,0.0,0.10693510917936544,0.6559664862192355,0.7,0.869
2023Q2,-0.03333333333335986,0.04578516711461955,0.6407688631580784,0.7,0.866
2023Q3,0.23333333333332007,0.32354651240006405,0.6115486243369934,0.7,0.866
2023Q4,-0.16666666666668561,-0.11379586811183429,0.6136994858034158,0.7,0.864
2024Q1,0.09999999999999432,0.14541385261078088,0.6370172513434333,0.7,0.868
2024Q2,-0.06666666666666288,-0.017060921910833304,0.6079749935378491,0.7,0.864
2024Q3,0.29999999999999716,0.35349242421702975,0.5816621379126007,0.7,0.871
2024Q4,-0.29999999999999716,-0.2562033143195268,0.6007369642355915,0.7,0.881
2025Q1,0.03333333333335986,0.07729310921353294,0.6128472448794303,0.7,0.872
2025Q2,-0.06666666666666288,-0.0458002385607732,0.5702498307436553,0.7,0.873
2025Q3,0.16666666666668561,0.9231429486992422,1.7766933559273559,0.7,0.907
