hhid,total_income,wave,total_consump,overreactor,log_income,urban,province,log_income_panel,log_consump,log_income_2011,delta_log_income
201100001,51400,2011,,0,10.8474129065069,1,11,10.8474129065069,,10.8474129065069,0
201100002,101319.796875,2011,,0,11.5260469690176,1,11,11.5260469690176,,11.5260469690176,0
201100002,47000,2013,,0,11.5260469690176,1,11,10.7579241570616,,11.5260469690176,-0.768122811955973
201100002,129600,2015,98700.0234375,0,11.5260469690176,1,11,11.7722157789199,11.4998505945421,11.5260469690176,0.246168809902356
201100003,30000,2011,,0,10.3089859934221,1,11,10.3089859934221,,10.3089859934221,0
201100004,88808.890625,2011,,0,11.39425330369,1,11,11.39425330369,,11.39425330369,0
201100004,93564,2013,,0,11.39425330369,1,11,11.4464116609119,,11.39425330369,0.0521583572218578
201100005,30000,2011,,0,10.3089859934221,1,11,10.3089859934221,,10.3089859934221,0
201100006,50505.85546875,2011,,0,10.8298643579064,1,11,10.8298643579064,,10.8298643579064,0
201100006,554500,2013,,0,10.8298643579064,1,11,13.2258238891974,,10.8298643579064,2.39595953129101
201100006,140200,2015,67612,0,10.8298643579064,1,11,11.8508323862248,11.1215555512346,10.8298643579064,1.02096802831837
201100007,27420,2011,,0,10.2190644221814,1,11,10.2190644221814,,10.2190644221814,0
201100007,93500,2013,,0,10.2190644221814,1,11,11.4457274104068,,10.2190644221814,1.22666298822533
201100007,109520,2015,87789.9921875,0,10.2190644221814,1,11,11.603871590673,11.3827141796846,10.2190644221814,1.38480716849159
201100008,68600,2011,,0,11.1360623908672,1,11,11.1360623908672,,11.1360623908672,0
201100008,111200,2013,,0,11.1360623908672,1,11,11.6190946535639,,11.1360623908672,0.483032262696735
201100008,95304,2015,118806.3359375,0,11.1360623908672,1,11,11.4648375541632,11.6852584343199,11.1360623908672,0.328775163295969
201100009,48500,2011,,0,10.7893396952697,1,11,10.7893396952697,,10.7893396952697,0
201100010,48400,2011,,0,10.7872757536483,1,11,10.7872757536483,,10.7872757536483,0
201100010,121990,2013,,0,10.7872757536483,1,11,11.7117025505024,,10.7872757536483,0.924426796854105
201100011,26600,2011,,0,10.1887040880481,1,11,10.1887040880481,,10.1887040880481,0
201100011,50000,2013,,0,10.1887040880481,1,11,10.8197982842103,,10.1887040880481,0.63109419616217
201100012,27600,2011,,0,10.2256072829329,1,11,10.2256072829329,,10.2256072829329,0
201100012,42600,2013,,0,10.2256072829329,1,11,10.6596330061604,,10.2256072829329,0.434025723227411
201100012,3600,2015,4580.9658203125,0,10.2256072829329,1,11,8.18896686364888,8.4298834034292,10.2256072829329,-2.03664041928407
201100013,67200,2011,,0,11.1154434073529,1,11,11.1154434073529,,11.1154434073529,0
201100013,213000,2013,,0,11.1154434073529,1,11,12.2690521395162,,11.1154434073529,1.15360873216332
201100013,6000,2015,57528.84765625,0,11.1154434073529,1,11,8.69968140098951,10.9600591817789,11.1154434073529,-2.41576200636339
201100014,62500,2011,,0,11.0429378355965,1,11,11.0429378355965,,11.0429378355965,0
201100015,55200,2011,,0,10.9187363480431,1,11,10.9187363480431,,10.9187363480431,0
201100015,73200,2013,,0,10.9187363480431,1,11,11.2009643610583,,10.9187363480431,0.282228013015152
201100016,146000,2011,,0,11.8913687499821,1,11,11.8913687499821,,11.8913687499821,0
201100016,154500,2013,,0,11.8913687499821,1,11,11.9479558477909,,11.8913687499821,0.0565870978088157
201100016,27350,2015,73988.0078125,0,11.8913687499821,1,11,10.216508370253,11.2116718180784,11.8913687499821,-1.67486037972907
201100017,64800,2011,,0,11.0790763143201,1,11,11.0790763143201,,11.0790763143201,0
201100017,150400,2013,,0,11.0790763143201,1,11,11.9210603394119,,11.0790763143201,0.841984025091884
201100017,88800,2015,66700.0078125,0,11.0790763143201,1,11,11.3941531901781,11.1079753414222,11.0790763143201,0.315076875858056
201100018,173000,2011,,0,12.06105265381,1,11,12.06105265381,,12.06105265381,0
201100018,404500,2013,,0,12.06105265381,1,11,12.9104094876655,,12.06105265381,0.849356833855484
201100018,322000,2015,103154.0703125,0,12.06105265381,1,11,12.6823099301118,11.5439886720417,12.06105265381,0.621257276301755
201100019,350000,2011,,0,12.7656912906044,1,11,12.7656912906044,,12.7656912906044,0
201100019,286095,2013,,0,12.7656912906044,1,11,12.564082697815,,12.7656912906044,-0.201608592789388
201100020,111000,2011,,0,11.6172944892629,1,11,11.6172944892629,,11.6172944892629,0
201100021,70000,2011,,0,11.1562648066437,1,11,11.1562648066437,,11.1562648066437,0
201100022,39600,2011,,0,10.586609649449,1,11,10.586609649449,,10.586609649449,0
201100022,15020,2013,,0,10.586609649449,1,11,9.61720450099805,,10.586609649449,-0.96940514845093
201100022,105600,2015,89759.25,0,10.586609649449,1,11,11.5674231199064,11.4048975059576,10.586609649449,0.980813470457447
201100023,62200,2011,,0,11.0381263557685,1,11,11.0381263557685,,11.0381263557685,0
201100023,83101,2013,,0,11.0381263557685,1,11,11.3278240479426,,11.0381263557685,0.28969769217416
201100024,27225,2011,,0,10.2119276780724,1,11,10.2119276780724,,10.2119276780724,0
201100024,219825,2013,,0,10.2119276780724,1,11,12.30059160331,,10.2119276780724,2.08866392523756
201100025,134500,2011,,0,11.8093269129406,1,11,11.8093269129406,,11.8093269129406,0
201100025,66760,2013,,0,11.8093269129406,1,11,11.1088743566929,,11.8093269129406,-0.700452556247685
201100025,78060,2015,114993.6328125,0,11.8093269129406,1,11,11.265245851311,11.6526407350606,11.8093269129406,-0.544081061629612
201100026,0,2011,,0,0,1,11,0,,0,0
