hhid,infl_exp,high_infl_exp,forecast_error_proxy,overreaction,media_salience,low_salience,high_media,risk_attitude,econ_outlook,interest_exp,house_price_exp,log_income,income_tercile,urban,province
201102521,5,1,1,1,1,0,0,5,5,2,5,10.2043696204519,2,1,31
201102522,5,1,1,1,2,1,1,3,2,2,4,11.701485853054,3,1,31
201102523,4,1,0,0,2,0,1,3,2,2,4,11.4483976104424,3,1,31
201102524,5,1,1,1,2,0,1,5,1,2,4,10.7913993858086,2,1,31
201102525,3,0,-1,0,2,0,1,2,2,2,4,10.8197982842103,2,1,31
201102526,5,1,1,1,2,0,1,3,2,1,4,14.5061551095591,3,1,31
201102527,5,1,1,1,2,1,1,4,2,3,4,12.226370248345,3,1,31
201102528,4,1,0,0,1,0,0,4,2,2,4,10.7693477756109,2,1,31
201102529,4,1,0,0,2,1,1,3,2,2,5,9.62198633915943,1,1,31
201102530,4,1,0,0,3,1,1,5,1,1,4,11.5617251529038,3,1,31
201102531,5,1,1,1,3,1,1,2,2,2,3,10.2313874370267,2,1,31
201102532,4,1,0,0,1,0,0,5,2,3,3,10.3766424612809,2,1,31
201102533,4,1,0,0,2,0,1,5,3,3,4,11.4731550007315,3,1,31
201102534,5,1,1,1,1,0,0,4,2,2,4,0,1,1,31
201102535,4,1,0,0,3,2,1,2,2,2,4,11.9414623606462,3,1,31
201102536,5,1,1,1,3,1,1,5,2,2,4,11.5169274463495,3,1,31
201102537,5,1,1,1,1,1,0,5,4,1,3,9.7981825908907,1,1,31
201102538,5,1,1,1,1,0,0,5,2,2,3,10.837637848711,2,1,31
201102539,5,1,1,1,3,0,1,5,2,2,4,10.5966597327836,2,1,31
201102540,5,1,1,1,2,0,1,5,3,3,3,10.8396005193574,2,1,31
201102541,4,1,0,0,3,1,1,2,2,2,2,10.7975531251516,2,1,31
201102542,4,1,0,0,2,0,1,5,4,2,3,10.5873164524571,2,1,31
201102543,5,1,1,1,3,1,1,1,2,2,5,9.50755189464409,1,1,31
201102544,4,1,0,0,2,0,1,5,4,2,3,10.7010172706892,2,1,31
201102545,3,0,-1,0,3,1,1,4,3,2,2,10.849356503939,2,1,31
201102546,4,1,0,0,3,1,1,5,3,2,2,11.2898944073284,3,1,31
201102547,5,1,1,1,2,2,1,5,2,2,5,10.8715544621909,2,1,31
201102548,4,1,0,0,1,0,0,5,9,2,4,8.47657950853094,1,1,31
201102549,5,1,1,1,3,2,1,2,2,2,4,11.4295547255373,3,1,31
201102550,4,1,0,0,2,0,1,2,3,2,3,11.6699377607519,3,1,31
201102551,4,1,0,0,2,0,1,3,3,2,3,12.0552555697322,3,1,31
201102552,5,1,1,1,1,0,0,5,3,3,5,0,1,1,31
201102553,4,1,0,0,2,0,1,4,2,2,4,8.5173931714189,1,1,31
201102554,2,0,-2,0,3,0,1,3,2,3,2,10.5506169722625,2,1,31
201102555,5,1,1,1,3,1,1,3,3,2,4,11.6172944892629,3,1,31
201102556,4,1,0,0,1,1,0,4,2,2,3,10.7995959850478,2,1,31
201102557,4,1,0,0,1,0,0,4,3,2,3,11.002116507732,3,1,31
201102558,4,1,0,0,1,0,0,5,2,2,3,9.98049488889691,1,1,31
201102559,5,1,1,1,1,0,0,5,2,2,3,10.0883475514247,2,1,31
201102560,3,0,-1,0,1,0,0,5,3,2,4,11.5099309859899,3,1,31
201102561,4,1,0,0,3,1,1,5,1,2,4,0,1,1,31
201102562,5,1,1,1,1,0,0,3,2,2,3,11.59451466851,3,1,31
201102563,5,1,1,1,1,1,0,5,3,2,4,14.9141231799657,3,1,31
201102564,5,1,1,1,3,0,1,3,3,1,4,8.8538082749772,1,1,31
201102565,4,1,0,0,2,1,1,5,3,2,3,11.1732621422453,3,1,31
201102566,5,1,1,1,2,0,1,5,2,2,3,12.0167325160771,3,1,31
201102567,4,1,0,0,3,0,1,4,3,2,3,14.9131426997787,3,1,31
