quarter,report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,price_sentiment_index,infl_exp_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share,infl_exp_index_alt,pi_baseline,mu_cp,sigma_cp,mu_cp_lower,mu_cp_upper,delta_used,effective_sample_share,epu_qavg,gpr_qavg,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY_dup1,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct,Food_CPI_YoY_qavg,CPI_YoY_rate,PPI_YoY_rate,mu_alt_index,CPI_QoQ_Ann_lead1,CPI_YoY_rate_lead1,FE_next_cp,FR_cp,FE_next_index,FR_index,msi_raw,media_congestion_iv,sample_main
2013Q3,2013年第3季度储户问卷调查报告,2013Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541837728/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013第3季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第3季度储户问卷调查报告.pdf,ed841a067f7ca4375e19af357a93e48aff50a4542cd1f2672c50fe714c0ebf52,21.4,70.5,49.9,52.8,37.3,48.3,59.7,48,10.3,12.5,70.5,0.466666666666654,1.63217235406775,1.40372418032084,1.45798325782761,1.83785852983583,0.5,0.875,92.6946624333333,88.4639638264974,100.466666666667,50.8,10.1,14.4666666666667,98.2533,97.31,100.466666666667,0.466666666666664,135.475196850599,2.71320997808228,98.2533,-1.7467,2581.35810446147,-24.3588890778428,5.74082278242332,3.01988457327247,154972.1,10.3915688397538,5.29467260540556,0.466666666666654,-1.74669999999999,70.5,1.20500598706399,0.100000000000009,-0.42716636700376,,-69.294994012936,3.7,0.299996033569151,0.366379652721938,0
2013Q4,2013年第4季度城镇储户问卷调查报告,2013Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542268118/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013第4季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第4季度城镇储户问卷调查报告.pdf,7cc7554d2caf142a06180f2a30bc6377d6d03d4b6581e1e3f7ad5b8426cc1341,20.5,72.2,50.3,54.1,38.8,49.7,61.6,41.5,13.4,12.8,72.2,0.100000000000009,1.73623993773034,2.09266933692886,1.46204634325603,2.05087227893356,0.5,0.872,132.622152366667,73.7015431722005,100.1,51.2666666666667,10,14.0333333333333,98.571,96.8233333333333,100.1,0.099999999999999,135.881486559528,2.9182961342568,98.571,-1.429,2472.267659074,-21.1678286854894,1.20500598706399,2.50887324106377,170694.7,10.6553306797703,5.48006528906398,0.100000000000009,-1.42899999999999,72.2,4.04999535011983,0.333333333333329,2.31375541238949,0.10406758366259,-68.1500046498802,1.7,0.709390203962422,0.933893614491916,1
2014Q1,2014年第1季度城镇储户问卷调查报告,2014Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542160274/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第1季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第1季度城镇储户问卷调查报告.pdf,e61ec4d9da43e26ad9ae43eb354472bf9c3c4a86b395fa28ccbbf35361cc9244,23.6,63.9,50.7,53,40.6,49.9,55.8,48.5,14,13.3,63.9,0.333333333333329,1.42673378825814,1.61208724136986,1.15198753394796,1.6907250439799,0.5,0.867,91.36728098,88.9193496704102,100.333333333333,50.3333333333333,2.93333333333333,12.8666666666667,98.0266333333334,96.655,100.333333333333,0.333333333333333,137.236870417588,2.24040032469324,98.0266333333334,-1.97336666666666,2328.74597575706,-20.932022413249,4.04999535011983,2.31181575747776,143539.4,8.84116357559199,3.40749587600989,0.333333333333329,-1.97336666666666,63.9,-4.32211618585646,-0.366666666666674,-5.7488499741146,-0.3095061494722,-68.2221161858565,-8.3,-0.489990588858971,0.34887318610207,1
2014Q2,2014年第2季度城镇储户问卷调查报告,2014Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212535975104/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014第2季度城镇储户问卷调查报告(1).pdf,data\raw\pboc_depositor_survey\pdfs\2014年第2季度城镇储户问卷调查报告.pdf,99aa588a61592b9233c390fdefb085ab0a0a1bbe21220e5552a47652d5295d67,23.2,63.8,48.3,51.6,38.6,47.8,56.5,50.1,7.1,13.4,63.8,-0.366666666666674,0.525224769513019,1.00004035283825,0.381212422615811,0.684130810797367,0.5,0.866,104.261133793333,91.8058344523112,99.6333333333333,50.7333333333333,8.9,13.7666666666667,98.4800666666667,95.2166666666667,99.6333333333333,-0.36666666666667,135.729327101446,1.9716634613605,98.4800666666667,-1.51993333333333,2224.11870867146,-19.5381475753472,-4.32211618585646,1.59552446796638,159462.4,9.13568113642851,3.33417478580005,-0.366666666666674,-1.51993333333333,63.8,3.24557399184642,0.266666666666666,2.7203492223334,-0.901509018745121,-60.5544260081536,-0.100000000000001,-0.434785379065494,0.237907616665556,1
2014Q3,2014年第3季度城镇储户问卷调查报告,2014Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540056279/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第3季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第3季度城镇储户问卷调查报告.pdf,1d15624894d715bf3afa93e95f538c767e5830338a22dade9f4a6347be7ad899,25.1,64.1,49.2,52.5,39.22,488.2,25.1,54,6.7,11.7,64.1,0.266666666666666,0.482059548991916,0.499102510426438,0.339485392633971,0.582997805856212,0.5,0.883,93.3699377766667,135.58539835612,100.266666666667,51.3,7.96666666666667,13.0666666666667,98.7092666666667,94.7766666666667,100.266666666667,0.266666666666666,136.817470474112,1.29285597230548,98.7092666666667,-1.29073333333333,2139.05437307834,-16.9964843839761,3.24557399184642,0.99078920327611,168601.7,8.79487339979261,2.99814580558431,0.266666666666666,-1.29073333333334,64.1,0.39819321454071,0.0333333333333457,-0.0838663344512063,-0.043165220521103,-63.7018067854593,0.299999999999997,-0.455843591576337,-1.4451167556538,1
2014Q4,2014年第4季度城镇储户问卷调查报告,2014Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541993849/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2014年第4季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2014年第4季度城镇储户问卷调查报告.pdf,5640e9f49cd2c58f261181ea8061ee18477a5a1c8477c33f53405efc77fd2624,25.4,64.5,49.2,53.4,38.8,48.4,52.9,50.1,6.6,13.8,64.5,0.0333333333333457,0.78688303896271,0.877495044712419,0.629742536113729,0.9350057850226,0.5,0.862,92.9489953366667,84.8557586669922,100.033333333333,50.4,7.6,12.3666666666667,97.2497333333333,94.33,100.033333333333,0.0333333333333314,136.953467039763,0.822572043842699,97.2497333333333,-2.75026666666667,1967.31433800944,-18.9967225126262,0.39819321454071,0.788908413777989,184179.4,7.89989378697755,2.6257022934712,0.0333333333333457,-2.75026666666668,64.5,4.04425506226007,0.333333333333329,3.25737202329736,0.304823489970794,-60.4557449377399,0.400000000000006,-0.410573698994165,0.505090427391108,1
2015Q1,2015年第1季度城镇储户问卷调查报告,2015Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540292214/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2015年第一季度城镇储户问卷调查报告.PDF,data\raw\pboc_depositor_survey\pdfs\2015年第1季度城镇储户问卷调查报告.pdf,f5fb2eeb394bf742a545417e54d2e5379c76112b60b9829f444791d6ad4008f4,27.7,59,50.8,51.4,40.66,477.8,27.7,48.8,10.2,100.9,59,0.333333333333329,,,,,0.5,0.01,103.13750815,109.38188680013,100.333333333333,49.9333333333333,1.86666666666667,11.6333333333333,95.4406333333333,93.44,100.333333333333,0.333333333333333,138.317635873322,0.555136001868399,95.4406333333333,-4.55936666666667,1710.29481209209,-24.6670489389027,4.04425506226007,0.787518290416811,154171.4,7.40702552748584,2.05129733874152,0.333333333333329,-4.55936666666666,59,-1.58884468817903,-0.133333333333326,,,-60.588844688179,-5.5,-1.01014431317989,-0.437771212286115,0
2015Q2,2015年第2季度城镇储户问卷调查报告,2015Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540277103/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2015年第二季度城镇储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第2季度城镇储户问卷调查报告.pdf,111ebf7b15eddb9bcd78df75347c22b1fe86cb009aa6560b27d1d5e4e8952950,28.4,60.4,48.5,51.5,40.1,47.8,47.4,54.1,8,13.4,60.4,-0.133333333333326,0.465196115176449,0.828298554187554,0.290639962130248,0.609035774316484,0.5,0.866,75.90869523,88.1195958455404,99.8666666666667,50.1666666666667,6.26666666666667,10.9,95.3356666666667,92.54,99.8666666666667,-0.133333333333335,137.764918600372,0.991532668480747,95.3356666666667,-4.66433333333334,1481.95968709719,-30.8754618485362,-1.58884468817903,1.49974330706331,171887,7.79155462353509,2.21405032826488,-0.133333333333326,-4.66433333333333,60.4,3.6583493854345,0.299999999999997,3.19315327025805,,-56.7416506145655,1.4,-0.985672415809371,0.37961824290686,0
2015Q3,2015年第3季度城镇储户问卷调查报告,2015Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543067187/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543067187/2015093014532074686.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第3季度城镇储户问卷调查报告.pdf,be82eb3b01d5181030fea038e98dfcd4f098772a6816137590be881bc7d8a4d8,27.8,63.5,47.3,50.1,38.2,46.3,48,50.2,7.3,13.6,63.5,0.299999999999997,0.913054933024789,0.809209728485298,0.741685236059476,1.05456362613096,0.5,0.864,96.75868113,96.0182164510091,100.3,49.8333333333333,5.93333333333333,13.2333333333333,94.2543666666667,93.2966666666667,100.3,0.299999999999997,139.007973527377,1.77020635759762,94.2543666666667,-5.74563333333334,1240.89671263609,-39.2713006883111,3.6583493854345,1.60104045607234,180118.7,6.83089197795752,3.16307328198885,0.299999999999997,-5.74563333333333,63.5,0.796367265091158,0.0666666666666629,-0.116687667933631,0.44785881784834,-62.7036327349089,3.1,-0.509405599944028,0.0759703807235792,1
2015Q4,2015年第4季度城镇储户问卷调查报告,2015Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543275802/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212543275802/2015122416031664001.pdf,data\raw\pboc_depositor_survey\pdfs\2015年第4季度城镇储户问卷调查报告.pdf,46a2f7f8e989183de15d90d0d7daba5cec16fae450a0b0f7ef7552dee93f5bfc,26.3,63.8,45.3,49.1,38.3,45.3,51.1,50.1,7.2,13.7,63.8,0.0666666666666629,0.769390645096293,0.870048329686794,0.601916210391789,0.918082811413861,0.5,0.863,92.6519467166667,130.294881184896,100.066666666667,49.7,5.9,13.5,94.0997666666667,93.3433333333333,100.066666666667,0.0666666666666676,139.283904354829,1.49903341501905,94.0997666666667,-5.90023333333334,1033.95409129286,-45.8708542711391,0.796367265091158,1.70162710403625,196334.4,6.59954370575646,2.40170183467812,0.0666666666666629,-5.90023333333333,63.8,6.82457699206285,0.554956706666658,6.05518634696655,-0.143664287928496,-56.9754230079372,0.299999999999997,-0.495173008064161,-1.24173260680966,1
