param,mean,sd,p05,p95
alpha,0.04951403952780867,0.10135751601815349,-0.11735922885011012,0.21144399314732829
gamma_Food_CPI_YoY_qavg,-0.25899342713846446,0.10943741718493598,-0.43369004103278963,-0.08333055009429438
gamma_M2_YoY,-0.46604445199235733,0.10772310172079182,-0.6480571561127083,-0.2917766922718822
gamma_PPI_YoY,-0.13076406721812606,0.10317291537668963,-0.29903348785656997,0.036817089109053916
d_epu_qavg,0.02093211546234619,0.08800546281436573,-0.11964280064251741,0.16526555804859483
d_gpr_qavg,-0.07482344738917275,0.10998114474027737,-0.26596203716884553,0.10108665630462241
R_var,0.4572620933268715,0.11490754694372778,0.2953561992113436,0.6765613313154825
Q_var,0.3278269690428844,0.14237226005825082,0.15806966060106295,0.58960459270476
